#{"t_start": 1764996021.9306874, "env_id": "None"}
r,l,t
53.045,11,18.39051
53.035,13,18.406558
53.045,11,18.406558
53.045,11,18.406558
53.04,12,18.406558
53.035,13,18.406558
53.03,14,18.422349
53.04,12,18.422349
53.05,10,18.422349
53.04,12,18.422349
53.045,11,18.438255
53.04,12,18.438255
53.04,12,18.438255
52.905,39,18.454075
53.04,12,18.456758
53.04,12,18.456758
53.04,12,18.456758
53.045,11,18.469887
53.05,10,18.469887
53.04,12,18.469887
53.035,13,18.469887
53.03,14,18.469887
52.975,25,18.490999
53.04,12,18.494994
53.015,17,18.498992
53.04,12,18.499998
53.045,11,18.499998
53.05,10,18.499998
53.05,10,18.499998
53.04,12,18.499998
53.03,14,18.515951
53.04,12,18.515951
53.045,11,18.515951
53.04,12,18.515951
53.05,10,18.532076
53.045,11,18.532076
