#{"t_start": 1764687834.7812252, "env_id": "None"}
r,l,t
52.61,98,196.772635
52.61,98,196.849422
52.61,98,196.896869
52.61,98,197.008611
52.61,98,197.120147
52.61,98,197.183756
52.61,98,197.231259
52.61,98,197.282388
52.605,99,197.659749
52.61,98,197.770535
52.61,98,197.912969
52.61,98,198.055985
52.61,98,198.150966
52.61,98,198.245779
52.61,98,198.356454
52.61,98,198.499242
52.61,98,198.657462
52.61,98,198.800256
52.605,99,198.95859
52.6,100,199.450839
52.61,98,199.60927
52.605,99,199.751659
52.61,98,199.925959
52.61,98,200.084469
52.61,98,200.227148
52.61,98,200.38534
52.61,98,200.496302
52.6,100,200.592701
52.61,98,200.701716
52.61,98,201.149603
52.6,100,201.257527
52.61,98,201.305563
52.61,98,201.369419
52.61,98,201.464374
52.61,98,201.559078
52.61,98,201.669697
52.61,98,201.780353
52.61,98,201.875137
52.6,100,201.986173
52.61,98,202.080916
52.61,98,202.508879
52.61,98,202.603723
52.61,98,202.714375
52.61,98,202.846778
52.61,98,202.983421
52.61,98,203.078299
52.61,98,203.221076
52.61,98,203.331778
52.61,98,203.442412
52.61,98,203.537308
52.61,98,203.948533
52.61,98,204.043329
52.61,98,204.153936
52.61,98,204.265052
52.61,98,204.37572
52.61,98,204.486394
52.61,98,204.581141
52.61,98,204.675962
52.61,98,204.754998
52.605,99,204.819089
52.605,99,204.867361
52.605,99,205.328312
52.61,98,205.428098
52.61,98,205.534614
52.6,100,205.645258
52.605,99,205.740361
52.61,98,205.83525
52.605,99,205.945897
52.595,101,206.040719
52.61,98,206.151339
52.6,100,206.24627
52.61,98,206.673159
52.605,99,206.783864
52.6,100,206.878661
52.6,100,206.973467
52.605,99,207.068239
52.59,102,207.178859
52.605,99,207.289445
52.605,99,207.416725
52.61,98,207.527333
52.595,101,207.622206
52.605,99,208.017325
52.605,99,208.127895
52.605,99,208.286175
52.605,99,208.428987
52.61,98,208.587308
52.605,99,208.74544
52.605,99,208.887992
52.6,100,209.062453
52.605,99,209.236659
52.595,101,209.395312
52.605,99,209.791978
52.61,98,209.966944
52.61,98,210.126143
52.6,100,210.283822
52.605,99,210.442719
52.61,98,210.600957
52.6,100,210.759246
52.61,98,210.901702
52.605,99,211.0442
52.605,99,211.154843
52.61,98,211.249655
-35.404082,7500,224.863439
52.61,98,224.974242
52.61,98,225.101288
52.605,99,225.196245
52.61,98,225.30724
52.61,98,225.434079
52.61,98,225.52903
52.61,98,225.624078
52.61,98,226.100218
52.61,98,226.194911
52.61,98,226.305586
52.6,100,226.400494
52.61,98,226.495297
52.605,99,226.605883
52.61,98,226.716809
52.61,98,226.811893
52.61,98,226.922785
52.61,98,226.96613
52.61,98,227.302588
52.61,98,227.413283
52.61,98,227.539802
52.61,98,227.650541
52.61,98,227.76821
52.61,98,227.870966
52.61,98,227.981796
52.61,98,228.07712
52.61,98,228.18831
52.61,98,228.283266
52.61,98,228.378345
52.61,98,228.774403
52.605,99,228.885181
52.61,98,228.996587
52.61,98,229.091527
52.61,98,229.20245
52.61,98,229.313281
52.61,98,229.408654
52.61,98,229.535045
52.61,98,229.629857
52.61,98,229.740512
52.61,98,230.199892
52.61,98,230.294703
52.61,98,230.405283
52.61,98,230.500394
52.61,98,230.595124
52.605,99,230.706187
52.61,98,230.801149
52.605,99,230.89616
52.61,98,230.991071
52.61,98,231.11774
52.61,98,231.212523
52.61,98,231.607596
52.61,98,231.718196
52.61,98,231.861303
52.6,100,231.957108
52.6,100,232.080539
52.61,98,232.194978
52.61,98,232.290488
52.61,98,232.385435
-35.408163,7500,242.434051
52.61,98,242.545269
52.605,99,242.655971
52.61,98,242.750923
52.61,98,242.846041
52.6,100,242.956993
52.61,98,243.051956
52.61,98,243.162953
52.61,98,243.258014
